category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01197,0186,そば　そば　半生そば,23.0,1.1,2.0,3.1,2.1,1.9,3.0,0.3,6.9,
01,01129,0187,そば　干しそば　乾,14.0,1.6,2.1,3.7,-,-,-,-,-,
01,01130,0188,そば　干しそば　ゆで,72.0,0.5,1.0,1.5,-,-,-,-,-,
01,01131,0189,とうもろこし　玄穀　黄色種,14.5,0.6,8.4,9.0,-,-,-,-,-,
01,01162,0190,とうもろこし　玄穀　白色種,14.5,0.6,8.4,9.0,-,-,-,-,-,
01,01132,0191,とうもろこし　コーンミール　黄色種,14.0,0.6,7.4,8.0,-,-,-,-,-,
01,01163,0192,とうもろこし　コーンミール　白色種,14.0,0.6,7.4,8.0,-,-,-,-,-,
01,01133,0193,とうもろこし　コーングリッツ　黄色種,14.0,0.1,2.3,2.4,-,-,-,-,-,
01,01164,0194,とうもろこし　コーングリッツ　白色種,14.0,0.1,2.3,2.4,-,-,-,-,-,
01,01134,0195,とうもろこし　コーンフラワー　黄色種,14.0,0.2,1.5,1.7,-,-,-,-,-,
01,01165,0196,とうもろこし　コーンフラワー　白色種,14.0,0.2,1.5,1.7,-,-,-,-,-,
01,01135,0197,とうもろこし　ジャイアントコーン　フライ　味付け,4.3,0.6,9.9,10.5,-,-,-,-,-,
01,01136,0198,とうもろこし　ポップコーン,4.0,0.2,9.1,9.3,-,-,-,-,-,
01,01137,0199,とうもろこし　コーンフレーク,4.5,0.3,2.1,2.4,-,-,-,-,-,
01,01138,0200,はとむぎ　精白粒,13.0,0,0.6,0.6,-,-,-,-,-,
01,01139,0201,ひえ　精白粒,12.9,0.4,3.9,4.3,-,-,-,-,-,
01,01140,0202,もろこし　玄穀,12.0,0.7,9.0,9.7,-,-,-,-,-,
01,01141,0203,もろこし　精白粒,12.5,0.4,4.0,4.4,-,-,-,-,-,
01,01142,0204,ライむぎ　全粒粉,12.5,3.2,10.1,13.3,-,-,-,-,-,
01,01143,0205,ライむぎ　ライ麦粉,13.5,4.7,8.2,12.9,-,-,-,-,-,
02,02068,0206,＜いも類＞　アメリカほどいも　塊根　生,56.5,-,-,-,0.8,1.8,8.5,0.3,11.1,
02,02069,0207,＜いも類＞　アメリカほどいも　塊根　ゆで,57.1,-,-,-,0.9,3.2,4.2,1.5,8.4,
02,02001,0208,＜いも類＞　きくいも　塊茎　生,81.7,0.5,1.4,1.9,-,-,-,-,-,
02,02041,0209,＜いも類＞　きくいも　塊茎　水煮,85.4,0.5,1.6,2.1,-,-,-,-,-,
02,02002,0210,＜いも類＞　こんにゃく　精粉,6.0,73.3,6.6,79.9,-,-,-,-,-,
02,02003,0211,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,97.3,0.1,2.1,2.2,-,-,-,-,-,
02,02004,0212,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,96.2,Tr,3.0,3.0,-,-,-,-,-,
02,02042,0213,＜いも類＞　こんにゃく　赤こんにゃく,97.1,0.1,2.3,2.3,-,-,-,-,-,
02,02043,0214,＜いも類＞　こんにゃく　凍みこんにゃく　乾,12.0,0.9,70.4,71.3,-,-,-,-,-,
02,02044,0215,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,80.8,0.2,15.3,15.5,-,-,-,-,-,
02,02005,0216,＜いも類＞　こんにゃく　しらたき,96.5,0,2.9,2.9,-,-,-,-,-,
02,02045,0217,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,64.6,0.9,1.8,2.8,-,-,-,-,-,
02,02046,0218,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,64.2,1.0,2.8,3.8,-,-,-,-,-,
02,02047,0219,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,52.4,0.9,2.2,3.1,-,-,-,-,-,
02,02006,0220,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,65.6,0.6,1.6,2.2,-,-,-,-,-,
02,02007,0221,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,65.6,0.6,1.7,2.3,-,-,-,-,-,
02,02008,0222,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,58.1,1.1,2.4,3.5,0.7,1.4,2.3,0.5,4.5,
02,02009,0223,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,22.2,2.4,3.5,5.9,1.3,2.6,4.3,0.8,8.2,
02,02048,0224,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,66.0,0.8,1.7,2.5,-,-,-,-,-,
02,02049,0225,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,66.2,0.9,2.1,3.0,-,-,-,-,-,
02,02010,0226,＜いも類＞　（さといも類）　さといも　球茎　生,84.1,0.8,1.5,2.3,-,-,-,-,-,
02,02011,0227,＜いも類＞　（さといも類）　さといも　球茎　水煮,84.0,0.9,1.5,2.4,-,-,-,-,-,
