hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
ting,ting,tʽing,ㄊㄧㄥ,1278.49,FALSE,,,,,
tong,tong,tʽung,ㄊㄨㄥ,6377.97,FALSE,,,,,
tou,tou,tʽou,ㄊㄡ,1769.16,FALSE,,,,,
tu,tu,tʽu,ㄊㄨ,2459.09,FALSE,,,,,
tuan,tuan,tʽuan,ㄊㄨㄢ,852.74,FALSE,,,,,
tui,tuei,tʽui,ㄊㄨㄟ,956.46,FALSE,,,,,
tun,tun,tʽun,ㄊㄨㄣ,96.94,FALSE,,,,,
tuo,tuo,tʽo,ㄊㄨㄛ,528.91,FALSE,,,,,
wa,wa,wa,ㄨㄚ,200.72,FALSE,,,,,
wai,wai,wai,ㄨㄞ,1618.26,FALSE,,,,,
wan,wan,wan,ㄨㄢ,4202.58,FALSE,,,,,
wang,wang,wang,ㄨㄤ,6413.38,FALSE,,,,,
wei,wei,wei,ㄨㄟ,10174.16,FALSE,,,,,
wen,wun,wen,ㄨㄣ,7884.69,FALSE,,,,,
weng,wong,weng,ㄨㄥ,49.99,FALSE,,,,,
wo,wo,wo,ㄨㄛ,3802.92,FALSE,,,,,
wu,wu,wu,ㄨ,9481.71,FALSE,,,,,
xi,si,hsi,ㄒㄧ,7551,FALSE,,,,,
xia,sia,hsia,ㄒㄧㄚ,3249.39,FALSE,,,,,
xian,sian,hsien,ㄒㄧㄢ,9178.13,FALSE,,,,,
xiang,siang,hsiang,ㄒㄧㄤ,7739.87,FALSE,,,,,
xiao,siao,hsiao,ㄒㄧㄠ,6285.61,FALSE,,,,,
xie,sie,hsieh,ㄒㄧㄝ,3168.93,FALSE,,,,,
xin,sin,hsin,ㄒㄧㄣ,9231.31,FALSE,,,,,
xing,sing,hsing,ㄒㄧㄥ,8654.1,FALSE,,,,,
xiong,syong,hsiung,ㄒㄩㄥ,1076.11,FALSE,,,,,
xiu,siou,hsiu,ㄒㄧㄡ,1349.9,FALSE,,,,,
xu,syu,hsü,ㄒㄩ,2832.48,FALSE,,,,,
xuan,syuan,hsüan,ㄒㄩㄢ,2136.9,FALSE,,,,,
xue,syue,hsüeh,ㄒㄩㄝ,7620.38,FALSE,,,,,
xun,syun,hsün,ㄒㄩㄣ,5596.95,FALSE,,,,,
ya,ya,ya,ㄧㄚ,1408.81,FALSE,,,,,
yai,yai,yai,ㄧㄞ,8.38,TRUE,,TRUE,Taiwan Mandarin,https://en.wiktionary.org/w/index.php?title=%E5%8E%93&oldid=84657400#Glyph_origin,
yan,yan,yen,ㄧㄢ,6534.97,FALSE,,,,,
yang,yang,yang,ㄧㄤ,3466.52,FALSE,,,,,
yao,yao,yao,ㄧㄠ,3754.93,FALSE,,,,,
ye,ye,yeh,ㄧㄝ,9863.82,FALSE,,,,,
yi,yi,i,ㄧ,19322.27,FALSE,,,,,
yin,yin,yin,ㄧㄣ,4376.57,FALSE,,,,,
ying,ying,ying,ㄧㄥ,6135.64,FALSE,,,,,
yo,yo,yo,ㄧㄛ,23.37,FALSE,,,,,
